Title,Authors
Dimensional Reduction of B-Fields in F-theory,"Sheldon Katz, Washington Taylor"
SBMLDiagrams: A python package to process and visualize SBML layout and render,"Jin Xu, Jessie Jiang, Herbert M. Sauro"
PVNAS: 3D Neural Architecture Search with Point-Voxel Convolution,"Zhijian Liu, Haotian Tang, Shengyu Zhao, Kevin Shao, Song Han"
Compact star merger events with stars composed of interacting strange quark matter,"Anil Kumar, Vivek Baruah Thapa, Monika Sinha"
"Doping a Mott insulator with excitons in moiré bilayer: fractional superfluid, neutral Fermi surface and Mott transition",Ya-Hui Zhang
Certifiable Robot Design Optimization using Differentiable Programming,"Charles Dawson, Chuchu Fan"
LiDetector: License Incompatibility Detection for Open Source Software,"Sihan Xu, Ya Gao, Lingling Fan, Zheli Liu, Yang Liu, Hua Ji"
Maximal entanglement velocity implies dual unitarity,"Tianci Zhou, Aram W. Harrow"
TheMITVoice Name System,"Brian Subirana, Harry Levinson, Ferran Hueto, Prithvi Rajasekaran, Alexander Gaidis, Esteve Tarragó, Peter Oliveira-Soens"
"Non-invertible Condensation, Duality, and Triality Defects in 3+1 Dimensions","Yichul Choi, Clay Cordova, Po-Shen Hsin, Ho Tat Lam, Shu-Heng Shao"
FluTAS: A GPU-accelerated finite difference code for multiphase flows,"Marco Crialesi-Esposito, Nicolo Scapin, Andreas D. Demou, Marco Edoardo Rosti, Pedro Costa, Filippo Spiga, Luca Brandt"
Selecting Continuous Life-Like Cellular Automata for Halting Unpredictability: Evolving for Abiogenesis,"Q. Tyrell Davis, Josh Bongard"
Superpotentials from Singular Divisors,"Naomi Gendler, Manki Kim, Liam McAllister, Jakob Moritz, Mike Stillman"
TheMITSupercloud Workload Classification Challenge,"Benny J. Tang, Qiqi Chen, Matthew L. Weiss, Nathan Frey, Joseph McDonald, David Bestor, Charles Yee, William Arcand, Chansup Byun, Daniel Edelman, Matthew Hubbell, Michael Jones, Jeremy Kepner, Anna Klein, Adam Michaleas, Peter Michaleas, Lauren Milechin, Julia Mullen, Andrew Prout, Albert Reuther, Antonio Rosa, Andrew Bowne, Lindsey McEvoy, Baolin Li, Devesh Tiwari"
Strange stars in $f(\mathcal{R})$ gravity Palatini formalism and gravitational wave echoes from them,"Jyatsnasree Bora, Dhruba Jyoti Gogoi, Umananda Dev Goswami"
Oblique Lessons from the $W$ Mass Measurement at CDF II,"Pouya Asadi, Cari Cesarotti, Katherine Fraser, Samuel Homiller, Aditya Parikh"
ReservoirComputing.jl: An Efficient and Modular Library for Reservoir Computing Models,"Francesco Martinuzzi, Chris Rackauckas, Anas Abdelrehim, Miguel D. Mahecha, Karin Mora"
Emergent phenomena from centre vortices,"Waseem Kamleh, James Biddle, Derek B. Leinweber, Finn M. Stokes"
Global ECG Classification by Self-Operational Neural Networks with Feature Injection,"Muhammad Uzair Zahid, Serkan Kiranyaz, Moncef Gabbouj"
D-instanton Induced Superpotential,"Sergei Alexandrov, Atakan Hilmi Fırat, Manki Kim, Ashoke Sen, Bogdan Stefański jr"
Snowmass White Paper: String Theory and Particle Physics,"Mirjam Cvetic, James Halverson, Gary Shiu, Washington Taylor"
Freezing Out Fluctuations in Hydro+ Near the QCD Critical Point,"Maneesha Pradeep, Krishna Rajagopal, Mikhail Stephanov, Yi Yin"
Do Vision-Language Pretrained Models Learn Composable Primitive Concepts?,"Tian Yun, Usha Bhalla, Ellie Pavlick, Chen Sun"
Direct visualization of percolating metal-insulator transition in V2O3 using scanning microwave impedance microscopy,"Weiyan Lin, Huanyu Zhang, Yoav Kalcheim, Xinchen Zhou, Fubao Yang, Yang Shi, Yang Feng, Yihua Wang, Jiping Huang, Ivan K. Schuller, Xiaodong Zhou, Jian Shen"
Joint domain adaptation and speech bandwidth extension using time-domain GANs for speaker verification,"Saurabh Kataria, Jesús Villalba, Laureano Moro-Velázquez, Najim Dehak"
Speed of Sound for Hadronic and Quark Phases in a Magnetic Field,"E. J. Ferrer, A. Hackebill"
Tunable magnetically induced transparency spectra in magnon-magnon coupled Y3Fe5O12/permalloy bilayers,"Yuzan Xiong, Jerad Inman, Zhengyi Li, Kaile Xie, Rao Bidthanapally, Joseph Sklenar, Peng Li, Steven Louis, Vasyl Tyberkevych, Hongwei Qu, Zhili Xiao, Wai K. Kwok, Valentine Novosad, Yi Li, Fusheng Ma, Wei Zhang"
Axial U(1) symmetry at high temperatures in $N_f=2+1$ lattice QCD with chiral fermions,"Sinya Aoki, Yasumichi Aoki, Hidenori Fukaya, Shoji Hashimoto, Issaku Kanamori, Takashi Kaneko, Yoshifumi Nakamura, Christian Rohrhofer, Kei Suzuki"
Glueballs in a Thermal Squeezeout Model,"Pouya Asadi, Eric David Kramer, Eric Kuflik, Tracy R. Slatyer, Juri Smirnov"
Rethinking Semantic Segmentation: A Prototype View,"Tianfei Zhou, Wenguan Wang, Ender Konukoglu, Luc Van Gool"
Pure Quark and Gluon Observables in Collinear Drop,"Iain W. Stewart, Xiaojun Yao"
Metal-Insulator Transition and Anomalous Lattice Parameters Changes in Ru-doped VO2,"Xin Gui, Robert J. Cava"
Hard probe path lengths and event-shape engineering of the quark-gluon plasma,"Caitlin Beattie, Govert Nijs, Mike Sas, Wilke van der Schee"
PaCa-ViT: Learning Patch-to-Cluster Attention in Vision Transformers,"Ryan Grainger, Thomas Paniagua, Xi Song, Naresh Cuntoor, Mun Wai Lee, Tianfu Wu"
Gravitational transitions via the explicitly broken symmetron screening mechanism,"Leandros Perivolaropoulos, Foteini Skara"
ModellierenmitHeraklit: Prinzipien und Fallstudie,"Peter Fettke, Wolfgang Reisig"
An Error-State Model Predictive Control on Connected Matrix Lie Groups for Legged Robot Control,"Sangli Teng, Dianhao Chen, William Clark, Maani Ghaffari"
Geographic Adaptation of Pretrained Language Models,"Valentin Hofmann, Goran Glavaš, Nikola Ljubešić, Janet B. Pierrehumbert, Hinrich Schütze"
Power-Based Side-Channel Attack for AES Key Extraction on the ATMega328 Microcontroller,"Utsav Banerjee, Lisa Ho, Skanda Koppula"
Superconducting dome associated with the suppression and re-emergence of charge density wave states upon sulfur substitution in CuIr2Te4 chalcogenides,"Mebrouka Boubeche, Ningning Wang, Jianping Sun, Pengtao Yang, Lingyong Zeng, Shaojuan Luo, Yiyi He, Jia Yu, Meng Wang, Jinguang Cheng, Huixia Luo"
Compact stars in the Einstein dark energy model,"Zahra Haghani, Tiberiu Harko"
An Efficient Video Streaming Architecture with QoS Control for Virtual Desktop Infrastructure in Cloud Computing,"Huu-Quoc Nguyen, Tien-Dung Nguyen, Van-Nam Pham, Xuan-Qui Pham, Quang-Thai Ngo, Eui-Nam Huh"
"The interplay between structural, magnetic and electronic states in the pyrochlore iridate Eu2Ir2O7","Manjil Das, Sayantika Bhowal, Jhuma Sannigrahi, Abhisek Bandyopadhyay, Anupam Banerjee, Giannantonio Cibin, Dmitry Khalyavin, Niladri Banerjee, Devashibhai Adroja, Indra Dasgupta, Subham Majumdar"
Neuro-symbolic Natural Logic with Introspective Revision for Natural Language Inference,"Yufei Feng, Xiaoyu Yang, Xiaodan Zhu, Michael Greenspan"
SparseChem: Fast and accurate machine learning model for small molecules,"Adam Arany, Jaak Simm, Martijn Oldenhof, Yves Moreau"
Deep Learning for Sleep Stages Classification: Modified Rectified Linear Unit Activation Function and Modified Orthogonal Weight Initialisation,"Akriti Bhusal, Abeer Alsadoon, P. W. C. Prasad, Nada Alsalami, Tarik A. Rashid"
Scaling and adiabaticity in a rapidly expanding gluon plasma,"Jasmine Brewer, Bruno Scheihing-Hitschfeld, Yi Yin"
Robust Counterexample-guided Optimization for Planning from Differentiable Temporal Logic,"Charles Dawson, Chuchu Fan"
UDAAN: Machine Learning based Post-Editing tool for Document Translation,"Ayush Maheshwari, Ajay Ravindran, Venkatapathy Subramanian, Ganesh Ramakrishnan"
License Incompatibilities in Software Ecosystems,Rolf-Helge Pfeiffer
Momentum-Aware Trajectory Optimization and Control for Agile Quadrupedal Locomotion,"Ziyi Zhou, Bruce Wingo, Nathan Boyd, Seth Hutchinson, Ye Zhao"
Pomeranchuk Effect and Tunable Quantum Phase Transitions in 3L-MoTe2/WSe2,"Mingjie Zhang, Xuan Zhao, Kenji Watanabe, Takashi Taniguchi, Zheng Zhu, Fengcheng Wu, Yongqing Li, Yang Xu"
Impact of quantum noise on the training of quantum Generative Adversarial Networks,"Kerstin Borras, Su Yeon Chang, Lena Funcke, Michele Grossi, Tobias Hartung, Karl Jansen, Dirk Kruecker, Stefan Kühn, Florian Rehm, Cenk Tüysüz, Sofia Vallecorsa"
The debiased compositional distribution of MITHNEOS: Global match between the near-Earth and main-belt asteroid populations and excess of D-type Near-Earth Objects,"Michaël Marsset, Francesca E. DeMeo, Brian Burt, David Polishook, Richard P. Binzel, Mikael Granvik, Pierre Vernazza, Benoit Carry, Schelte J. Bus, Stephen M. Slivan, Cristina A. Thomas, Nicholas A. Moskovitz, Andrew S. Rivkin"
Hole doping in a negative charge transfer insulator,"Ranjan Kumar Patel, Krishnendu Patra, Shashank Kumar Ojha, Siddharth Kumar, Sagar Sarkar, J. W. Freeland, J. W. Kim, P. J. Ryan, Priya Mahadevan, S. Middey"
QOC: Quantum On-Chip Training with Parameter Shift and Gradient Pruning,"Hanrui Wang, Zirui Li, Jiaqi Gu, Yongshan Ding, David Z. Pan, Song Han"
Arrhythmia Classifier Using Convolutional Neural Network with Adaptive Loss-aware Multi-bit Networks Quantization,"Hanshi Sun, Ao Wang, Ninghao Pu, Zhiqing Li, Junguang Huang, Hao Liu, Zhi Qi"
Fault-Tolerant Neural Networks from Biological Error Correction Codes,"Alexander Zlokapa, Andrew K. Tan, John M. Martyn, Ila R. Fiete, Max Tegmark, Isaac L. Chuang"
Bridging the Gap Between Patient-specific and Patient-independent Seizure Prediction via Knowledge Distillation,"Di Wu, Jie Yang, Mohamad Sawan"
Learning from the Pros: Extracting Professional Goalkeeper Technique from Broadcast Footage,"Matthew Wear, Ryan Beal, Tim Matthews, Tim Norman, Sarvapali Ramchurn"
"Safe Control with Learned Certificates: A Survey of Neural Lyapunov, Barrier, and Contraction methods","Charles Dawson, Sicun Gao, Chuchu Fan"
Flow-based sampling in the lattice Schwinger model at criticality,"Michael S. Albergo, Denis Boyda, Kyle Cranmer, Daniel C. Hackett, Gurtej Kanwar, Sébastien Racanière, Danilo J. Rezende, Fernando Romero-López, Phiala E. Shanahan, Julian M. Urban"
Model of hybrid star with baryonic and strange quark matter in Tolman-Kuchowicz spacetime,"Pramit Rej, Piyali Bhar"
Renormalization Group Approach to Percolation in Hierarchical Lattices,Abraham Levitan
Accelerating Earth-Bound Dark Matter,"David McKeen, Marianne Moore, David E. Morrissey, Maxim Pospelov, Harikrishnan Ramani"
Verwey transition as evolution from electronic nematicity to trimerons via electron-phonon coupling,"Wei Wang, Jun Li, Zhixiu Liang, Lijun Wu, Pedro M. Lozano, Alexander C. Komarek, Xiaozhe Shen, Alex H. Reid, Xijie Wang, Qiang Li, Weiguo Yin, Kai Sun, Yimei Zhu, Ian K. Robinson, Mark P. M. Dean, Jing Tao"
Extraterrestrial Axion Search with the Breakthrough Listen Galactic Center Survey,"Joshua W. Foster, Samuel J. Witte, Matthew Lawson, Tim Linden, Vishal Gajjar, Christoph Weniger, Benjamin R. Safdi"
"A study of anisotropic compact star withMITbag EoS in f(R,T) modified theory","H. D. Singh, J. Kumar"
Identifying equivalent Calabi--Yau topologies: A discrete challenge from math and physics for machine learning,"Vishnu Jejjala, Washington Taylor, Andrew Turner"
Lattice QCD Calculations of Parton Physics,"Martha Constantinou, Luigi Del Debbio, Xiangdong Ji, Huey-Wen Lin, Keh-Fei Liu, Christopher Monahan, Kostas Orginos, Peter Petreczky, Jian-Wei Qiu, David Richards, Nobuo Sato, Phiala Shanahan, C. -P. Yuan, Jian-Hui Zhang, Yong Zhao"
Studying quantum algorithms for particle track reconstruction in the LUXE experiment,"Lena Funcke, Tobias Hartung, Beate Heinemann, Karl Jansen, Annabel Kropf, Stefan Kühn, Federico Meloni, David Spataro, Cenk Tüysüz, Yee Chinn Yap"
Attention-based Deep Neural Networks for Battery Discharge Capacity Forecasting,"Yadong Zhang, Chenye Zou, Xin Chen"
Ultra-fine Entity Typing with Indirect Supervision from Natural Language Inference,"Bangzheng Li, Wenpeng Yin, Muhao Chen"
Applications of Machine Learning to Lattice Quantum Field Theory,"Denis Boyda, Salvatore Calì, Sam Foreman, Lena Funcke, Daniel C. Hackett, Yin Lin, Gert Aarts, Andrei Alexandru, Xiao-Yong Jin, Biagio Lucini, Phiala E. Shanahan"
Effective classification of ECG signals using enhanced convolutional neural network in IOT,Ahmad M. Karim
The Soft Compiler: A Web-Based Tool for the Design of Modular Pneumatic Circuits for Soft Robots,"Lauryn Whiteside, Savita V. Kendre, Tian Y. Fan, Jovanna A. Tracz, Gus T. Teran, Thomas C. Underwood, Mohammed E. Sayed, Haihui J. Jiang, Adam A. Stokes, Daniel J. Preston, George M. Whitesides, Markus P. Nemitz"
Finite-Volume Pionless Effective Field Theory for Few-Nucleon Systems with Differentiable Programming,"Xiangkai Sun, William Detmold, Di Luo, Phiala E. Shanahan"
Exceptional dynamics of interacting spin liquids,"Kang Yang, Daniel Varjas, Emil J. Bergholtz, Sid Morampudi, Frank Wilczek"
Robust Dialogue State Tracking with Weak Supervision and Sparse Data,"Michael Heck, Nurul Lubis, Carel van Niekerk, Shutong Feng, Christian Geishauser, Hsien-Chin Lin, Milica Gašić"
A lattice study of $ππ$ scattering at large $N_\text{c}$,"Jorge Baeza-Ballesteros, Pilar Hernández, Fernando Romero-López"
Non-singular T-K axion stars with/without the dynamical bosonic field in the presence of negative $Λ$ term,"Oleksii Sokoliuk, Alexander Baransky, Praduymn Kumar Sahoo"
Nucleon Form Factors from the Feynman-Hellmann Method in Lattice QCD,"M. Batelaan, R. Horsley, Y. Nakamura, H. Perlt, D. Pleiter, P. E. L. Rakow, G. Schierholz, H. Stüben, R. D. Young, J. M. Zanotti"
Deviation from maximal entanglement for mid-spectrum eigenstates of local Hamiltonians,Yichen Huang
Arrhythmia Classification using CGAN-augmented ECG Signals,"Edmond Adib, Fatemeh Afghah, John J. Prevost"
POTATO: exPlainable infOrmation exTrAcTion framewOrk,"Ádám Kovács, Kinga Gémes, Eszter Iklódi, Gábor Recski"
Dielectric catastrophe at the Mott and Wigner transitions in a moiré superlattice,"Yanhao Tang, Jie Gu, Song Liu, Kenji Watanabe, Takashi Taniguchi, James C. Hone, Kin Fai Mak, Jie Shan"
Any-Play: An Intrinsic Augmentation for Zero-Shot Coordination,"Keane Lucas, Ross E. Allen"
DFORMPY: A Python Library for visualising and zooming on differential forms,"Moustafa Gharamti, Maciej Jarema, Samuel Kirwin-Jones"
Relational Memory Augmented Language Models,"Qi Liu, Dani Yogatama, Phil Blunsom"
Lie groups and Lie algebras,Pavel Etingof
Development and characterization of a fast and low noise readout for the next generation X-ray CCDs,"Tanmoy Chattopadhyay, Sven Herrmann, Peter Orel, R. Glenn Morris, Gregory Prigozhin, Andrew Malonis, Richard Foster, David Craig, Barry E. Burke, Steven W. Allen, Marshall Bautz"
Quark stars with 2.6 $M_\odot$ in a non-minimal geometry-matter coupling theory of gravity,"G. A. Carvalho, R. Lobato, P. H. R. S. Moraes, D. Deb, M. Malheiro"
Factorization connecting continuum and lattice TMDs,"Markus A. Ebert, Stella T. Schindler, Iain W. Stewart, Yong Zhao"
Canonical Purification of Evaporating Black Holes,"Netta Engelhardt, Åsmund Folkestad"
Anisotropic strange stars in Einstein Gauss-Bonnet Gravity with Finch-Skea metric,"Sagar Dey, Bikash Chandra Paul"
A Brief Analysis of the Apollo Guidance Computer,Charles Averill
Self-adjointness for theMITbag model on an unbounded cone,"Biagio Cassano, Vladimir Lotoreichik"
Fermi polarons at finite temperature: Spectral function and rf-spectroscopy,"Hui Hu, Xia-Ji Liu"
Analyzing N-point Energy Correlators Inside Jets with CMS Open Data,"Patrick T. Komiske, Ian Moult, Jesse Thaler, Hua Xing Zhu"
Quarkonium Suppression in the Open Quantum System Approach,Xiaojun Yao
Disentangling Long and Short Distances in Momentum-Space TMDs,"Markus A. Ebert, Johannes K. L. Michel, Iain W. Stewart, Zhiquan Sun"
"An Astro-Animation Class: Optimizing Artistic, Educational and Outreach Outcomes","Laurence Arcadias, Robin H. D. Corbet"
Thermal Relaxation and Cooling of Quark Stars with a Strangelet Crust,"Joas Zapata, Rodrigo Negreiros, Thiago Sales, Prashanth Jaikumar"
Testing General Relativity on the Largest Scales in the Years 1915-1955: the Dawning of Modern Cosmology,Cormac O'Raifeartaigh
New Phenomena in Large-Scale Internet Traffic,"Jeremy Kepner, Kenjiro Cho, KC Claffy, Vijay Gadepally, Sarah McGuire, Lauren Milechin, William Arcand, David Bestor, William Bergeron, Chansup Byun, Matthew Hubbell, Michael Houle, Michael Jones, Andrew Prout, Albert Reuther, Antonio Rosa, Siddharth Samsi, Charles Yee, Peter Michaleas"
Multi-level Second-order Few-shot Learning,"Hongguang Zhang, Hongdong Li, Piotr Koniusz"
Multilingual Open Text Release 1: Public Domain News in 44 Languages,"Chester Palen-Michel, June Kim, Constantine Lignos"
Czech Grammar Error Correction with a Large and Diverse Corpus,"Jakub Náplava, Milan Straka, Jana Straková, Alexandr Rosen"
D(-1)-Instanton Superpotential In String Theory,Manki Kim
Novel Algorithms for Computing Correlation Functions of Nuclei,"Nabil Humphrey, William Detmold, Ross D. Young, James M. Zanotti"
Improving ECG Classification Interpretability using Saliency Maps,"Yola Jones, Fani Deligianni, Jeff Dalton"
Recent advance in phase transition of vanadium oxide based solar reflectors and the fabrication progress,"Golsa Mirbagheri, David T. Crouse, Chee-Keong Tan"
Thermal phase structure of dimensionally reduced super-Yang--Mills,"David Schaich, Raghav G. Jha, Anosh Joseph"
Nature of novel moiré exciton states in WSe$_2$/WS$_2$ heterobilayers,"Mit H. Naik, Emma C. Regan, Zuocheng Zhang, Yang-hao Chan, Zhenglu Li, Danqing Wang, Yoseob Yoon, Chin Shen Ong, Wenyu Zhao, Sihan Zhao, M. Iqbal Bakti Utama, Beini Gao, Xin Wei, Mohammed Sayyad, Kentaro Yumigeta, Kenji Watanabe, Takashi Taniguchi, Sefaattin Tongay, Felipe H. da Jornada, Feng Wang, Steven G. Louie"
$K\toππ$ decay matrix elements at the physical point with periodic boundary conditions,"Masaaki Tomii, Thomas Blum, Daniel Hoying, Taku Izubuchi, Luchang Jin, Chulwoo Jung, Amarjit Soni"
ConTrip: Consensus Sentiment review Analysis and Platform ratings in a single score,"José Bonet, José Bonet"
Exploratory Analysis of Academic Collaborations between French and US,"George Panagopoulos, Michalis Vazirgiannis"
Magnetic-field-induced Anderson localization in orbital selective antiferromagnet BaMn$_2$Bi$_2$,"Takuma Ogasawara, Kim-Khuong Huynh, Stephane Yu Matsushita, Motoi Kimata, Time Tahara, Takanori Kida, Masayuki Hagiwara, Denis Arčon, Katsumi Tanigaki"
"A Neural Network Solves, Explains, and Generates University Math Problems by Program Synthesis and Few-Shot Learning at Human Level","Iddo Drori, Sarah Zhang, Reece Shuttleworth, Leonard Tang, Albert Lu, Elizabeth Ke, Kevin Liu, Linda Chen, Sunny Tran, Newman Cheng, Roman Wang, Nikhil Singh, Taylor L. Patti, Jayson Lynch, Avi Shporer, Nakul Verma, Eugene Wu, Gilbert Strang"
Constrained Local Search for Last-Mile Routing,"William Cook, Stephan Held, Keld Helsgaun"
Digital Quantum Simulation of the Schwinger Model and Symmetry Protection with Trapped Ions,"Nhung H. Nguyen, Minh C. Tran, Yingyue Zhu, Alaina M. Green, C. Huerta Alderete, Zohreh Davoudi, Norbert M. Linke"
$B\!\to\!D^{(*)}\ellν$ semileptonic decays in lattice QCD with domain-wall heavy quarks,"T. Kaneko, Y. Aoki, B. Colquhoun, M. Faur, H. Fukaya, S. Hashimoto, J. Koponen, E. Kou"
Inferring nuclear structure from heavy isobar collisions using Trajectum,"Govert Nijs, Wilke van der Schee"
Numerical evaluation of time-distance helioseismic sensitivity kernels in spherical geometry,Jishnu Bhattacharya
SeMask: Semantically Masked Transformers for Semantic Segmentation,"Jitesh Jain, Anukriti Singh, Nikita Orlov, Zilong Huang, Jiachen Li, Steven Walton, Humphrey Shi"
2+1 flavor fine lattice simulation at finite temperature with domain-wall fermions,"Sinya Aoki, Yasumichi Aoki, Hidenori Fukaya, Shoji Hashimoto, Issaku Kanamori, Takashi Kaneko, Yoshifumi Nakamura"
Disorder-dominated quantum criticality in moiré bilayers,"Yuting Tan, Pak Ki Henry Tsang, V. Dobrosavljević"
Bulk and Boundary Quantum Phase Transitions in a Square Rydberg Atom Array,"Marcin Kalinowski, Rhine Samajdar, Roger G. Melko, Mikhail D. Lukin, Subir Sachdev, Soonwon Choi"
Luminosity functions consistent with a pulsar-dominated Galactic Center Excess,"Jack T. Dinsmore, Tracy R. Slatyer"
UniMiSS: Universal Medical Self-Supervised Learning via Breaking Dimensionality Barrier,"Yutong Xie, Jianpeng Zhang, Yong Xia, Qi Wu"
Thermal interquark potentials for bottomonium using NRQCD from the HAL QCD method,"Thomas Spriggs, Chris Allton, Timothy Burns, Seyong Kim"
Impurity metallic conduction below the critical concentration of Metal-Insulator Transition in Fe1-xCoxSi,"M. Krishnan, V. Ganesan"
"Mutual and self-inductance in planarized multilayered superconductor integrated circuits: Microstrips, striplines, bends, meanders, ground plane perforations","Sergey K. Tolpygo, Evan B. Golden, Terence J. Weir, Vladimir Bolkhovsky"
Aspects of finite temperature QCD towards the chiral limit,Anirban Lahiri
Head Matters: Explainable Human-centered Trait Prediction from Head Motion Dynamics,"Surbhi Madan, Monika Gahalawat, Tanaya Guha, Ramanathan Subramanian"
Energy-Efficient Real-Time Heart Monitoring on Edge-Fog-Cloud Internet-of-Medical-Things,"Berken Utku Demirel, Islam Abdelsalam Bayoumy, Mohammad Abdullah Al Faruque"
Factorization for Azimuthal Asymmetries in SIDIS at Next-to-Leading Power,"Markus A. Ebert, Anjie Gao, Iain W. Stewart"
Quantum computing for lattice supersymmetry,"Christopher Culver, David Schaich"
The $\mathcal{N} = 2$ Prepotential and the Sphere Free Energy,"Bernardo Zan, Daniel Z. Freedman, Silviu S. Pufu"
gACSON software for automated segmentation and morphology analyses of myelinated axons in 3D electron microscopy,"Andrea Behanova, Ali Abdollahzadeh, Ilya Belevich, Eija Jokitalo, Alejandra Sierra, Jussi Tohka"
Towards automated optimisation of residual convolutional neural networks for electrocardiogram classification,"Zeineb Fki, Boudour Ammar, Mounir Ben Ayed"
A flux reconstruction stochastic Galerkin scheme for hyperbolic conservation laws,"Tianbai Xiao, Jonas Kusch, Julian Koellermeier, Martin Frank"
SymmetryGAN: Symmetry Discovery with Deep Learning,"Krish Desai, Benjamin Nachman, Jesse Thaler"
Tensor Charges and their Impact on Physics Beyond the Standard Model,"R. E. Smail, R. Horsley, Y. Nakamura, H. Perlt, D. Pleiter, P. E. L. Rakow, G. Schierholz, H. Stüben, R. D. Young, J. M. Zanotti"
Three-particle scattering amplitudes from lattice QCD,Fernando Romero-López
Finite volume analysis on systematics of the derivative expansion in HAL QCD method,"Takumi Doi, Yan Lyu, Hui Tong, Takuya Sugiura, Sinya Aoki, Tetsuo Hatsuda, Jie Meng, Takaya Miyamoto"
A geometric perspective on the scaling limits of critical Ising and $\varphi^4_d$ models,Michael Aizenman
Natural F-theory constructions of Standard Model structure from $E_7$ flux breaking,"Shing Yan Li, Washington Taylor"
Charmed semileptonics with twisted-mass valence quarks,"Julien Frison, Gregorio Herdoiza, Carlos Pena, Jose Angel Romero, Javier Ugarrio"
Complex Langevin boundary terms in lattice models,"Michael W. Hansen, Erhard Seiler, Dénes Sexty, Ion-Olimipu Stamatescu"
Long-term memory magnetic correlations in the Hubbard model: A dynamical mean-field theory analysis,"Clemens Watzenböck, Martina Fellinger, Karsten Held, Alessandro Toschi"
Time- and Space-Varying Neutrino Mass Matrix from Soft Topological Defects,"Gia Dvali, Lena Funcke, Tanmay Vachaspati"
Spectral reconstruction in NRQCD via the Backus-Gilbert method,"Benjamin Page, Gert Aarts, Chris Allton, Benjamin Jäger, Seyong Kim, Maria Paola Lombardo, Sam Offler, Sinead M. Ryan, Jon-Ivar Skullerud, Thomas Spriggs"
Limitations of Linear Cross-Entropy as a Measure for Quantum Advantage,"Xun Gao, Marcin Kalinowski, Chi-Ning Chou, Mikhail D. Lukin, Boaz Barak, Soonwon Choi"
Bottomonium spectral widths at nonzero temperature using maximum likelihood,"Thomas Spriggs, Gert Aarts, Chris Allton, Timothy Burns, Benjamin Jäger, Seyong Kim, Maria Paola Lombardo, Sam Offler, Ben Page, Sinéad M. Ryan, Jon-Ivar Skullerud"
Operator Growth from Global Out-of-time-order Correlators,"Tianci Zhou, Brian Swingle"
Ab initio nuclear thermodynamics from lattice effective field theory,"Bing-Nan Lu, Ning Li, Serdar Elhatisari, Dean Lee, Joaquín E. Drut, Timo A. Lähde, Evgeny Epelbaum, Ulf-G. Meißner"
Infinite Neural Network Quantum States: Entanglement and Training Dynamics,"Di Luo, James Halverson"
"Wafer-Scale Characterization of a Superconductor Integrated Circuit Fabrication Process, Using a Cryogenic Wafer Prober","Joshua T. West, Arthur Kurlej, Alex Wynn, Chad Rogers, Mark A. Gouker, Sergey K. Tolpygo"
Estimating the thermal photon production rate using lattice QCD,"Csaba Török, Marco Cè, Tim Harris, Ardit Krasniqi, Harvey B. Meyer, Arianna Toniato"
Coulomb corrections to pi-pi scattering,"Norman Christ, Xu Feng, Joseph Karpie, Tuan Nguyen"
Thimble regularisation of YM fields: crunching a hard problem,"Francesco Di Renzo, Simran Singh, Kevin Zambello"
Dual Polyakov loop model at finite density: phase diagram and screening masses,"Oleg Borisenko, Volodymyr Chelnokov, Emanuele Mendicelli, Alessandro Papa"
Mixed-state entanglement and information recovery in thermalized states and evaporating black holes,"Shreya Vardhan, Jonah Kudler-Flam, Hassan Shapourian, Hong Liu"
Lattice QCD at Imaginary Chemical Potential in the Chiral Limit,"D. A. Clarke, Jishnu Goswami, F. Karsch, Anirban Lahiri, M. Neumann, C. Schmidt"
Model-Independent Error Mitigation in Parametric Quantum Circuits and Depolarizing Projection of Quantum Noise,"Xiaoyang Wang, Xu Feng, Lena Funcke, Tobias Hartung, Karl Jansen, Stefan Kühn, Georgios Polykratis, Paolo Stornati"
Scattering from generalised lattice $φ^4$ theory,"Marco Garofalo, Fernando Romero-López, Akaki Rusetsky, Carsten Urbach"
Three-dimensional Gross-Neveu model with two flavors of staggered fermions,"Sandip Maiti, Debasish Banerjee, Shailesh Chandrasekharan, Marina Krstic Marinkovic"
Implementation of the conjugate gradient algorithm for heterogeneous systems,"Salvatore Cali, William Detmold, Grzegorz Korcyl, Piotr Korcyl, Phiala Shanahan"
Negative Complexity of Formation: the Compact Dimensions Strike Back,"Netta Engelhardt, Åsmund Folkestad"
Taylor expansions and Padé approximations for Lefschetz thimbles and beyond,"Kevin Zambello, Francesco Di Renzo, Simran Singh"
Progress in the determination of Mellin moments of the pion LCDA using the HOPE method,"William Detmold, Anthony V. Grebe, Issaku Kanamori, C. -J. David Lin, Santanu Mondal, Robert J. Perry, Yong Zhao"
Natural Language and Spatial Rules,"Alexandros Haridis, Stella Rossikopoulou Pappa"
Hypermassive quark cores,"Luiz L. Lopes, Carline Biesdorf, Débora P. Menezes"
Predicting Document Coverage for Relation Extraction,"Sneha Singhania, Simon Razniewski, Gerhard Weikum"
Axial Chiral Vortical Effect in a Sphere with finite size effect,"Shu-Yun Yang, Ren-Hong Fang, De-Fu Hou, Hai-Cang Ren"
Temporal Effects on Pre-trained Models for Language Processing Tasks,"Oshin Agarwal, Ani Nenkova"
IMBENS: Ensemble Class-imbalanced Learning in Python,"Zhining Liu, Jian Kang, Hanghang Tong, Yi Chang"
